dataset,algorithm,ensemble_size,cores,instances,time,delay,out_rate,acc
GMSC,LBagExecutorMAXChunk,25,4,149810.0,84.625,431.0,1770.2806396484375,93.5670256219829
GMSC,OzaBagExecutorMAXChunk,25,4,149237.0,40.70500183105469,187.0,3666.30615234375,93.31067251461988
GMSC,OzaBagASHTExecutorMAXChunk,25,4,149850.0,42.9379997253418,154.0,3489.915771484375,93.27820202213599
GMSC,OzaBagAdwinExecutorMAXChunk,25,4,149624.0,53.24100112915039,259.0,2810.315185546875,93.42894742711842
GMSC,AdaptiveRandomForestExecutorMAXChunk,25,4,142925.0,120.02200317382812,614.0,1190.8233642578125,93.57304246201792
